Judul,Penulis,Link
PEMBANGUNAN SISTEM INFORMASI PENGUSULAN DAN PEMINJAMAN ASET BERBASIS MOBILE PADA DEPARTEMEN SISTEM INFORMASI UNIVERSITAS ANDALAS,Annisa Suprima,http://scholar.unand.ac.id/124477/5/LAPORAN%20TA%20FULL%20ANNISA%20SUPRIMA.pdf
PEMBANGUNAN SISTEM INFORMASI ABSENSI SISWA BERBASIS MOBILE MENGGUNAKAN QR CODE PADA SMK NEGERI 7 PADANG,Farhan Naufal Otra,http://scholar.unand.ac.id/124480/5/LAPORAN%20TA%20FULL%20FARHAN%20NAUFAL%20OTRA.pdf
PEMBANGUNAN SISTEM INFORMASI PELAPORAN BENCANA BERBASIS MOBILE PADA BADAN PENANGGULANGAN BENCANA DAERAH PROVINSI SUMATERA BARAT,Dhinda Amalia Kiflia,http://scholar.unand.ac.id/124476/5/Laporan%20TA%20Full%20Dhinda%20Amalia%20Kiflia.pdf
PEMBANGUNAN SISTEM INFORMASI PENGELOLAAN KULIAH KERJA NYATA (KKN) PADA UPT-KKN UNIVERSITAS ANDALAS,Nedia Putri Ismala,http://scholar.unand.ac.id/124478/5/SKRIPSI%20FULL%20TEXT%20NEDIA%20PUTRI%20ISMALA.pdf
PEMBANGUNAN SISTEM INPembangunan Sistem Informasi Penyusunan Rencana Pembelajaran Semester (RPS) berbasis Outcome Based Education (OBE) Studi Kasus Departemen Sistem Informasi Universitas Andalas,Fandy Akbar,http://scholar.unand.ac.id/124454/5/SKRIPSI%20FULL%20TEXT%20FANDY%20AKBAR.pdf
