Judul,Penulis,Link
PEMBANGUNAN APLIKASI SISTEM INFORMASI GEOGRAFIS UNTUK DESA WISATA APAR DI KOTA PARIAMAN BERBASIS WEB DAN MOBILE,Muhammad Agung Mahardhika,http://scholar.unand.ac.id/120616/5/SKRIPSI%20FULLTEXT.pdf
PEMBANGUNAN APLIKASI SISTEM INFORMASI GEOGRAFIS UNTUK DESA WISATA KAMPUNG MINANG NAGARI SUMPU DI KABUPATEN TANAH DATAR BERBASIS WEB DAN MOBILE,Rahmat Hanafi,http://scholar.unand.ac.id/120471/5/SKRIPSI%20FULL%20TEXT%20RAHMAT%20HANAFI.pdf
Pembangunan Aplikasi Geographic Information System (GIS) Desa Wisata Green Talao Park (GTP) Ulakan Berbasis Web,Novisa Ardewati,http://scholar.unand.ac.id/120410/5/Tugas%20Akhir%20Ilmiah%20Utuh.pdf
"PENGEMBANGAN FITUR DAN IMPLEMENTASI ULANG WEBGIS PARIWISATA HALAL: HOTEL DI KOTA PADANG, SUMATRA BARAT",Rizki Aulia,http://scholar.unand.ac.id/79952/6/last%20revisi.pdf
"PENGEMBANGAN FITUR DAN IMPLEMENTASI ULANG SISTEM INFORMASI GEOGRAFIS KULINER KHAS MINANGKABAU BERBASIS WEB SEBAGAI PENDUKUNG PARIWISATA HALAL DI KOTA PADANG, SUMATRA BARAT",Cahaya Camila,http://scholar.unand.ac.id/80192/5/%5BCAHAYA%20CAMILA%5D%20Laporan%20Tugas%20Akhir%20%282%29.pdf
