Judul,Penulis,Link
Penerapan Business Intelligence Menggunakan Dashboard dan Forecasting Pada Data Kasus Pasien TBC Di Dinas Kesehatan Kota Padang,Daffa Iklil Dzakwan,http://scholar.unand.ac.id/124442/9/Full%20TA.pdf
"PENERAPAN BUSINESS INTELLIGENCE MENGGUNAKAN DASHBOARD, FORECASTING, DAN CLASSIFICATION PADA DATA DIVISI TRANS LIVING TRANSMART PADANG",Nurul Afifah,http://scholar.unand.ac.id/120956/5/SKRIPSI%20FULL%20TEXT%20NURUL%20AFIFAH.pdf
Implementasi Business Intelligence dan Prediksi Menggunakan Regresi Linear pada Data Penjualan dan Breakage Departemen Beverage Divisi FMCG di Transmart Padang,Salma Hanifah,http://scholar.unand.ac.id/118764/5/Skripsi%20Full%20Text%20SALMA%20HANIFAH.pdf
PEMBANGUNAN MODEL KLASIFIKASI HADITS BERDASARKAN KANDUNGAN MATAN MENGGUNAKAN TEXT MINING METODE NAIVE BAYES PADA PEMBELAJARAN HADITS,Dinda Fitria,http://scholar.unand.ac.id/120212/2/COVER%20%26%20ABSTRAK.pdf
Penerapan Business Intelligence untuk Pengelolaan Data dan Prediksi Pasien di RSUD Dr. Achmad Mochtar Bukittinggi,Lathifa Hardi,http://scholar.unand.ac.id/125556/2/Tugas%20Akhir.pdf
